"","Depth","Day","Mesocosm","total_L","Class","Compound"
"3989",2,18,8,17.2236144397719,"PC","PC-36:2"
"3990",2,18,8,27.4766799584257,"PC","PC-34:1"
"3991",2,18,8,5.56245989827109,"PC","PC-36:1"
"3992",2,18,8,3.37050116761827,"PE","PE-DAG-32:1"
"3993",2,18,8,0.894850989416785,"PE","PE-DAG-36:2"
"3994",2,18,8,4.23670646927542,"PE","PE-DAG-34:2"
"3995",2,18,8,3.06250874910477,"PE","PE-DAG-30:1"
"3996",2,18,8,1.18204783704651,"PE","PE-DAG-32:2"
"3997",2,18,8,1.79354861653427,"PE","PE-DAG-34:1"
"3998",2,18,8,0.799712559635838,"PE","PE-DAG-28:0"
"3999",2,18,8,0.817765415504573,"PE","PE-DAG-44:12"
"4000",2,18,8,0.876954975022516,"PE","PE-DAG-32:0"
"4001",2,18,8,201.461788652317,"PG","PG-DAG-30:0"
"4002",2,18,8,712.466841886334,"PG","PG-DAG-34:1"
"4003",2,18,8,293.353998409818,"PG","PG-DAG-32:0"
"4004",2,18,8,787.391684349976,"PG","PG-DAG-36:2"
"4005",2,18,8,111.710437104764,"PG","PG-DAG-36:5"
"4006",2,18,8,669.141607692469,"PG","PG-DAG-36:1"
"4007",2,18,8,477.455357316256,"PG","PG-DAG-34:2"
"4008",2,18,8,152.329959405341,"PG","PG-DAG-30:1"
"4009",2,18,8,397.123462998572,"PG","PG-DAG-32:1"
"4010",2,18,8,43.3159245492932,"PG","PG-DAG-34:3"
"4011",2,18,8,1.77656014337369,"SQ","SQDG-38:4"
"4012",2,18,8,19.3097130084491,"SQ","SQDG-36:0"
"4013",2,18,8,148.966637710494,"SQ","SQDG-34:0"
"4014",2,18,8,120.184976713676,"SQ","SQDG-34:3"
"4015",2,18,8,91.4796688178658,"SQ","SQDG-32:1"
"4016",2,18,8,19.8424126629133,"SQ","SQDG-26:0"
"4017",2,18,8,4.26109830828454,"SQ","SQDG-30:2"
"4018",2,18,8,44.6615748154161,"SQ","SQDG-30:1"
"4019",2,18,8,13.8440490473755,"SQ","SQDG-28:0"
"4020",2,18,8,453.213237589776,"SQ","SQDG-30:0"
"4021",2,18,8,13.5189548164949,"SQ","SQDG-34:4"
"4022",2,18,8,24.6077545578235,"SQ","SQDG-34:2"
"4023",2,18,8,13.305878395588,"SQ","SQDG-36:2"
"4024",2,18,8,2.46370364365787,"SQ","SQDG-34:5"
"4025",2,18,8,9.34150427231604,"SQ","SQDG-38:3"
"4026",2,18,8,264.498187112869,"SQ","SQDG-34:1"
"4027",2,18,8,826.569131568396,"SQ","SQDG-32:0"
"4028",2,18,8,26.9930749819697,"SQ","SQDG-32:2"
"4029",2,24,8,64.2832542568766,"BL","DGCC-32:0"
"4030",2,24,8,1.18139581433811,"BL","DGTS-OH-34:1"
"4031",2,24,8,6.06419532605102,"BL","DGTS-28:0"
"4032",2,24,8,48.4517040709373,"BL","DGCC-30:0"
"4033",2,24,8,13.9604180015463,"BL","DGTS-30:0"
"4034",2,24,8,1.43955424389727,"BL","DGTA-28:0"
"4035",2,24,8,8.23893429564659,"BL","DGCC-28:0"
"4036",2,24,8,2.41226341872003,"BL","DGTS-28:1"
"4037",2,24,8,0.771092817860711,"BL","DGTS-32:4"
"4038",2,24,8,2.91525075877807,"BL","DGCC-36:6"
"4039",2,24,8,1.57086093330382,"BL","DGTS-30:1"
"4040",2,24,8,2.25396307792052,"BL","DGTS-32:1"
"4041",2,24,8,2.47185334886155,"BL","DGTA-30:0"
"4042",2,24,8,1.49377370672137,"BL","DGTS-34:0"
"4043",2,24,8,17.5904915365892,"BL","DGTS-32:0"
"4044",2,24,8,1.43552980010542,"BL","DGTS-34:1"
"4045",2,24,8,12.6332719416561,"DGDG","DGDG-34:3"
"4046",2,24,8,1.38202958657961,"DGDG","DGDG-32:2"
"4047",2,24,8,2.80020339694104,"DGDG","DGDG-32:5"
"4048",2,24,8,72.1470089394347,"DGDG","DGDG-30:0"
"4049",2,24,8,8.2813558955909,"DGDG","DGDG-32:4"
"4050",2,24,8,54.4628522648668,"DGDG","DGDG-32:0"
"4051",2,24,8,99.831752896485,"DGDG","DGDG-28:0"
"4052",2,24,8,2.65908942145754,"DGDG","DGDG-32:1"
"4053",2,24,8,15.5673388260765,"DGDG","DGDG-34:0"
"4054",2,24,8,11.6676623339213,"MGDG","MGDG-34:0"
"4055",2,24,8,15.1567330497535,"MGDG","MGDG-32:1"
"4056",2,24,8,10.8222081854927,"MGDG","MGDG-32:2"
"4057",2,24,8,20.2173148679942,"MGDG","MGDG-30:1"
"4058",2,24,8,16.3842582204181,"MGDG","MGDG-34:1"
"4059",2,24,8,1.55925182842853,"MGDG","MGDG-28:1"
"4060",2,24,8,0.803824907639032,"MGDG","MGDG-34:5"
"4061",2,24,8,6.09596756212078,"MGDG","MGDG-32:0"
"4062",2,24,8,1.1186442254592,"MGDG","MGDG-36:0"
"4063",2,24,8,46.5791114866079,"MGDG","MGDG-30:2"
"4064",2,24,8,0.537200223782471,"MGDG","MGDG-36:10"
"4065",2,24,8,22.3772420710253,"MGDG","MGDG-30:3"
"4066",2,24,8,237.410398206289,"MGDG","MGDG-30:0"
"4067",2,24,8,304.028687432823,"MGDG","MGDG-28:0"
"4068",2,24,8,0.864445403905881,"Other","Gly-Cer-36:1"
"4069",2,24,8,0.980686683180771,"PC","PC-32:1"
"4070",2,24,8,1.81765288881764,"PC","PC-34:1"
"4071",2,24,8,40.5428936210769,"PC","PC-32:0"
"4072",2,24,8,0.763821660446965,"PC","PC-26:0"
"4073",2,24,8,33.143099862317,"PC","PC-28:0"
"4074",2,24,8,66.8833419099889,"PC","PC-30:0"
